id,src,dst,cas,time,pub_time,label,type,abs_time
14709,0,0,0,0.0,8.000277777777777,-1,2,8.000277777777777
14766,522821,522821,38,0.0,8.000277777777777,-1,1,8.000277777777777
14768,29400,29400,39,0.0,8.000555555555556,-1,1,8.000555555555556
14771,108365,108365,42,0.0,8.000555555555556,-1,1,8.000555555555556
14712,520876,520876,1,0.0,8.000833333333333,-1,1,8.000833333333333
14713,520895,520895,2,0.0,8.000833333333333,-1,1,8.000833333333333
14715,115532,115532,3,0.0,8.000833333333333,-1,3,8.000833333333333
14719,3255,3255,4,0.0,8.000833333333333,-1,2,8.000833333333333
14720,520943,520943,5,0.0,8.000833333333333,-1,1,8.000833333333333
6698658,669778,471056,39051,0.9891666666666666,17.989722222222223,80,1,18.97888888888889
6696372,53171,341074,39057,0.9886111111111111,17.990833333333335,559,1,18.979444444444443
6709667,443146,443147,39047,0.9919444444444444,17.988055555555555,32,2,18.98
6687618,607900,607911,39070,0.9863888888888889,17.998055555555556,61,3,18.984444444444446
6700902,278432,173007,39068,0.9897222222222222,17.997222222222224,-1,1,18.986944444444443
6704294,735072,605226,39071,0.9905555555555555,17.998333333333335,41,1,18.988888888888887
6717299,278432,299245,39068,0.9938888888888889,17.997222222222224,84,1,18.99111111111111
6709668,113320,443514,39075,0.9919444444444444,17.99972222222222,244,1,18.991666666666667
6728059,224814,224777,39072,0.9966666666666667,17.99888888888889,16,1,18.995555555555555
6740027,343819,786493,39073,0.9997222222222222,17.999166666666667,21,1,18.99888888888889
