casid,pub_user,pub_time,end_time,pop
1,1,1893-07-01,1979-10-01,6
2,2,1893-07-01,1893-07-01,0
3,3,1893-07-01,1903-01-01,2
4,4,1893-07-01,1893-07-01,0
5,5,1893-07-01,1893-07-01,0
6,6,1893-07-01,1893-07-01,0
7,7,1893-07-01,1893-07-01,0
8,8,1893-09-01,1893-09-01,0
9,9,1893-09-01,1893-09-01,0
616307,616307,2017-12-29,2017-12-29,0
616308,616308,2017-12-29,2017-12-29,0
616309,616309,2017-12-29,2017-12-29,0
616310,616310,2017-12-29,2017-12-29,0
616311,616311,2017-12-29,2017-12-29,0
616312,616312,2017-12-29,2017-12-29,0
616313,616313,2017-12-29,2017-12-29,0
616314,616314,2017-12-29,2017-12-29,0
616315,616315,2017-12-29,2017-12-29,0
616316,616316,2017-12-29,2017-12-29,0
