casid,pub_user,pub_time,end_time,pop
0,-1,1332587050,1334453617,95
1,-1,1334536960,1334695509,13
2,-1,1332799877,1332899264,12
3,-1,1332618982,1334990028,43
4,-1,1332646965,1335321541,95
5,-1,1334802123,1335337702,14
6,-1,1332949512,1335303709,30
7,-1,1332977286,1335412790,120
8,-1,1332658842,1332759317,20
88430,-1,1332844078,1334509914,11
88431,-1,1332610399,1335195539,18
88432,-1,1332868725,1335387665,35
88433,-1,1333008229,1335314531,20
88434,-1,1334539317,1334543478,21
88435,-1,1332576217,1335340155,60
88436,-1,1333251542,1335289929,49
88437,-1,1332575025,1335173354,15
88438,-1,1332990833,1335173354,11
88439,-1,1332947599,1335299086,13
