id,src,dst,cas,time
0,2,2,1,0
1,43,43,2,0
2,78,78,3,0
3,129,129,4,0
4,152,152,5,0
5,168,168,6,0
6,215,215,7,0
7,506,506,8,0
8,653,653,9,0
20762293,6231654,4583686,106371,86400
20762294,111881,4230036,108526,86400
20762295,182690,6360744,109128,86400
20762296,6258734,1928730,110126,86400
20762297,104272,6484888,112086,86400
20762298,4761926,6491750,112374,86400
20762299,18729,6561945,114006,86400
20762300,459155,458440,118063,86400
20762301,5452363,1817097,89151,732925938174642
20762302,5011058,220116,80431,739915455503579
