casid,pub_user,pub_time,end_time,pop
1,1,1464710400,1464744980,41
2,42,1464710401,1464756829,42
3,77,1464710401,1464793922,51
4,128,1464710401,1464791629,26
5,151,1464710401,1464751576,16
6,167,1464710403,1464793574,48
7,214,1464710403,1464796670,291
8,505,1464710403,1464771197,147
9,652,1464710403,1464784177,294
119304,2409371,1464796793,1464879172,321
119305,331021,1464796795,1464852260,18
119306,273287,1464796794,1464829832,29
119307,329781,1464796796,1464872705,45
119308,75721,1464796797,1464833759,20
119309,24299,1464796797,1464876797,16
119310,6738036,1464796797,1464855603,20
119311,442876,1464796797,1464831353,16
119312,2173443,1464796799,1464862971,12
119313,376256,1464796798,1464860593,11
